"","IM00","IM02","IM04","IM06","IM09","IM12","IM18","IM24","IM48"
"Hs.1497",0.825848486,0.833402046,0.779439823,0.772124296,0.813300615,0.800612629,0.783630236,0.77542626,0.787818086
"Hs.149894",0.721928576,0.787161023,0.914406321,0.877430117,0.926647657,0.933692024,0.90971634,1.253351063,0.882124992
"Hs.150136",1.350016256,1.222154588,1.188418965,1.224293159,1.291375891,1.313446712,1.367913249,1.066568082,1.161468164
"Hs.150749",0.708774008,0.817239504,0.842546712,0.761569333,0.731128046,0.738009439,0.822508213,1.054010242,1.433781796
"Hs.150793",1.246405993,1.26845458,1.026995869,1.207236,1.131132195,1.316963716,1.251358607,1.356487196,1.384405532
"Hs.151573",1.775774423,1.779456152,1.297686462,1.225881502,1.095577365,0.828854302,0.638470562,0.755135218,0.887920425
"Hs.15159",1.202318654,1.183101813,1.103898493,1.016760307,1.00606383,1.069266295,1.027204995,1.036984487,0.927373525
"Hs.151777",0.580713413,0.551862318,0.569720102,0.512122659,0.49366934,0.435394073,0.4316076,0.433686183,0.473704899
"Hs.152292",1.753162851,1.688477184,2.649899564,2.22205343,2.89596101,2.42249619,3.052213348,3.992021069,3.310842681
"Hs.152531",2.229162283,2.226703362,2.233741135,2.526303899,3.285665492,3.785807794,4.028409745,4.03851528,4.65752949
"Hs.153322",0.608124748,0.674274745,0.684772768,0.717432495,0.768351509,0.748693233,0.687974235,0.690439456,0.822606278
"Hs.154276",0.644194085,0.639898144,0.731733345,0.697083374,0.752436756,0.717372058,0.730989783,0.716500476,0.749766258
"Hs.154495",1.1251889,1.06472366,1.051170272,1.112878429,1.103362877,1.157820775,1.152387556,1.087950701,1.11701572
"Hs.154654",0.380925274,0.339531484,0.385754457,0.330498968,0.450129085,0.381138693,0.373441601,0.338285726,0.268347347
"Hs.154704",1.172252132,1.155836785,1.127210446,1.053132934,1.106570583,1.217875827,1.405820613,1.198762473,1.409735434
"Hs.155247",0.513491477,0.514952987,0.484819015,0.499269045,0.488402559,0.503735362,0.530800156,0.491709617,0.490816539
"Hs.155591",35.00406035,21.57372777,22.63583279,28.73709194,36.71287943,38.00913316,44.38737812,47.76156643,51.27311513
"Hs.155597",0.285783324,0.29956115,0.249651968,0.276615064,0.261219558,0.377857241,0.451918545,0.432134765,0.293869106
"Hs.155644",1.059310519,1.084332757,1.053076871,1.005527941,1.061920722,1.063825209,1.058284056,1.101724972,1.01976231
"Hs.155651",0.598094646,0.646850264,0.620404404,0.627327882,0.575309066,0.652635931,0.651103275,0.534414008,0.621650128
